stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1054d,SAKYATAN GİRİŞİ,,37.839283,32.7847919,,
1055d,ÇINGIRIK,,37.8424416,32.78444,,
1056d,SAKYATAN SU DEPOSU,,37.8398583,32.78684,,
1057d,14401. SK,,37.842,32.78879,,
1058d,SAKYATAN MAHALLESİ,,37.8449,32.78863,,
1059d,SAKYATAN,,37.8447583,32.78517,,
105a,İYİGÜL,,37.8631334,32.4675,,
105d,İYİGÜL,,37.863275,32.468086,,
1060d,SAKYATAN CAMİ,,37.843925,32.78322,,
1061a,BAKIRTOLU CAMİ,,37.7929084,32.81531,,
1062a,ŞATIR GİRİŞİ,,37.7937,32.78188,,
1063a,ŞATIR ÇOCUK PARKI,,37.7916417,32.77964,,
1064a,ŞATIR ÇIKIŞI,,37.7931,32.77822,,
1065a,HACI VEYİSZADE EFENDİ,,37.830375,32.72503,,
1066a,BAKIRTOLU KOOPERATİF,,37.8378917,32.71856,,
1067a,BEŞ EVLER,,37.8393917,32.71727,,
1068a,KUMRAL,,37.8787333,32.5368667,,
1068d,KUMRAL,,37.878579,32.536872,,
1069a,AKIN,,37.8528666,32.61273,,
1069d,AKIN,,37.8527166,32.61288,,
106a,TAŞDEMİR,,37.863,32.4643333,,
106d,TAŞDEMİR,,37.8631417,32.4644666,,
1070a,ŞADAN,,37.85,32.61225,,
1070d,ŞADAN,,37.84995,32.61242,,
1071a,MALAZGİRT,,37.8469833,32.61188,,
1072a,CAİZ,,37.8451666,32.61265,,
1073a,HASIR,,37.843275,32.61683,,
1074a,TAYYARLAR,,37.8438667,32.61963,,
1075a,APALI,,37.8476,32.62267,,
1076a,KUDRETLİ,,37.847676,32.628185,,
1077a,HARMANDÜZÜ,,37.847604,32.631437,,
1078a,GÜLBEYAZ,,37.8510417,32.63127,,
1079a,KIRÇİÇEĞİ,,37.8524583,32.62773,,
107a,ŞEHİR,,37.861325,32.4647917,,
107d,ŞEHİR,,37.861325,32.464575,,
1080a,ANLATIM,,37.8538833,32.62197,,
1081a,ÖZSEZGİN,,37.8541167,32.6183,,
1082a,HAKİM,,37.8514083,32.61827,,
1083a,BERAT,,37.8496417,32.61853,,
1084a,GÖZÖNÜ,,37.8495667,32.61523,,
1085a,İNCEKAYA,,37.8609166,32.64523,,
1085d,İNCEKAYA,,37.8609166,32.64533,,
1086a,ELİSA,,37.8645667,32.6425,,
1087a,BAĞLAR,,37.8673417,32.58364,,
1087d,BAĞLAR,,37.8672667,32.58346,,
1088a,HASBİHAL,,37.870425,32.58531,,
1088d,HASBİHAL,,37.8705,32.58524,,
1089a,KİREMİT,,37.8704,32.58712,,
1089d,KİREMİT,,37.8704917,32.58712,,
108a,BAYRAKÇI SANAYİ,,37.8593083,32.461525,,
108d,BAYRAKÇI SANAYİ,,37.859425,32.461475,,
1090a,ESENKÖY,,37.867825,32.58706,,
1090d,ESENKÖY,,37.8677333,32.58707,,
1091a,TOPLUCA,,37.8657667,32.5863,,
1091d,TOPLUCA,,37.8658,32.58633,,
1092a,AYÇİÇEĞİ,,37.8652666,32.58855,,
1092d,AYÇİÇEĞİ,,37.8653167,32.58849,,
1093a,TERLER,,37.8657083,32.59081,,
1093d,TERLER,,37.86575,32.59082,,
1094a,GÜLCÜ,,37.865025,32.59877,,
1094d,GÜLCÜ,,37.8650417,32.59883,,
1095a,BADEMYAĞI,,37.8635583,32.60419,,
1095d,BADEMYAĞI,,37.863575,32.60424,,
1096a,NEYZEN,,37.86535,32.60588,,
1096d,NEYZEN,,37.86545,32.60583,,
1097a,HARABE,,37.8668667,32.60803,,
1097d,HARABE,,37.8669166,32.60815,,
1098a,ERDEMİR 4,,37.871178,32.611268,,
1098d,ERDEMİR 4,,37.8711583,32.61111,,
1099a,ÖZDEMİR,,37.8723,32.61218,,
1099d,ÖZDEMİR,,37.8722917,32.61223,,
109a,DÖKME TEPE,,37.8575833,32.4570333,,
109d,DÖKME TEPE,,37.857941,32.456955,,
10a,MİLLET,,37.869269,32.480426,,
10d,MİLLET,,37.869139,32.480683,,
1100a,ERDEMİR 1,,37.8714083,32.61512,,
1100d,ERDEMİR 1,,37.8713917,32.61516,,
1101a,ERDEMİR 2,,37.8695,32.61965,,
1101d,ERDEMİR 2,,37.8695417,32.61965,,
1102a,ERDEMİR 3,,37.8683083,32.62358,,
1102d,ERDEMİR 3,,37.8683083,32.62368,,
1103a,ATIŞ POLİGON YOLU,,37.8628084,32.62035,,
1103d,ATIŞ POLİGON YOLU,,37.8628,32.62041,,
1104a,ŞEHİT ABDULLAH ASLAN 1,,37.865561,32.634231,,
1104d,ŞEHİT ABDULLAH ASLAN 1,,37.865608,32.634243,,
110a,ATEŞBAZ,,37.8578917,32.453,,
110d,ATEŞBAZ,,37.858,32.4531333,,
1111a,SEYFULLAH,,37.87885,32.5332167,,
1111d,SEYFULLAH,,37.878711,32.533221,,
1112a,CELALİYE,,37.8697583,32.5428,,
1112d,CELALİYE,,37.8697583,32.543,,
1113a,KARDELEN,,37.87035,32.5454167,,
1113d,KARDELEN,,37.87029,32.5454167,,
1114a,AKVİRAN,,37.8718667,32.546065,,
1114d,AKVİRAN,,37.8718667,32.546125,,
1115a,SAYDAMLAR,,37.8737183,32.5443583,,
1115d,SAYDAMLAR,,37.8737583,32.5443583,,
1116a,İNCE MEHMET,,37.8731667,32.540075,,
1116d,İNCE MEHMET,,37.8732167,32.540075,,
1117a,ŞEYH ULEMA YAHŞİ CADDESİ,,37.87421,32.5379417,,
1117d,ŞEYH ULEMA YAHŞİ CADDESİ,,37.87425,32.5379417,,
1118a,FETİHKENT,,37.8741333,32.5351583,,
1118d,FETİHKENT,,37.8741833,32.5351583,,
1119a,EVLİYA CAMİ,,37.87364,32.53249,,
1119d,EVLİYA CAMİ,,37.8737,32.53242,,
111a,İKİ ÇAY ARASI,,37.8578833,32.4502,,
111d,İKİ ÇAY ARASI,,37.858025,32.45015,,
1120a,YUSUF İZZETTİN,,37.87846,32.531178,,
1120d,YUSUF İZZETTİN,,37.878401,32.531121,,
1121a,AĞRALI CAMİ,,37.8781583,32.5285583,,
1121d,AĞRALI CAMİ,,37.8779983,32.5285583,,
1122a,HACI VEYİSZADE,,37.8774183,32.5259917,,
1122d,HACI VEYİSZADE,,37.8774583,32.5259917,,
1123a,ŞEYH ULEMA OVALI CAMİ,,37.8767683,32.5231083,,
1123d,ŞEYH ULEMA OVALI CAMİ,,37.8768083,32.5231083,,
1124a,KASIM,,37.8762933,32.52025,,
1124d,KASIM,,37.8763333,32.52025,,
1125a,HACI EMİRZADE,,37.8755017,32.5170833,,
1125d,HACI EMİRZADE,,37.8755417,32.5170833,,
1126a,YUSUF AĞA CAMİ,,37.8750417,32.5149333,,
1127a,ZAMBAKLI CD 2,,37.817041,32.506992,,
1127d,ZAMBAKLI CD 2,,37.817022,32.506945,,
1128a,KÖPRÜBAŞI,,37.8745583,32.5077,,
1128d,KÖPRÜBAŞI,,37.874496,32.50771,,
1129a,SEYİT İBRAHİM,,37.874112,32.5045,,
1129d,SEYİT İBRAHİM,,37.874019,32.504511,,
112a,YEDEK IRMAK,,37.85695,32.4467,,
112d,YEDEK IRMAK,,37.8570833,32.4467666,,
1130a,RUMİ,,37.871725,32.5045917,,
1131a,KÜÇÜKPINAR,,37.818116,32.541251,,
1131d,KÜÇÜKPINAR,,37.818092,32.541143,,
1132a,AKŞAMYILDIZI,,37.824471,32.599246,,
1132d,AKŞAMYILDIZI,,37.824541,32.59917,,
1133a,HANEFİ,,37.818882,32.598596,,
1133d,HANEFİ,,37.818872,32.598659,,
1134a,VATAN SANAYİ (E),,37.867472,32.563301,,
1134d,VATAN SANAYİ (E),,37.867172,32.563301,,
1135a,YAYLAPINAR KAŞ CAMİ,,37.816703,32.498743,,
1135d,YAYLAPINAR KAŞ CAMİ,,37.816739,32.498652,,
1136a,SARNIÇ CAMİ,,37.876825,32.51205,,
1136d,SARNIÇ CAMİ,,37.8767417,32.5121417,,
1137a,ŞEHİT MUHARREM ÖKSÜZ,,37.877625,32.5138083,,
1137d,ŞEHİT MUHARREM ÖKSÜZ,,37.877575,32.5138083,,
1138a,ŞEHİT AZAM GÜDENDEDE,,37.879225,32.5163,,
1138d,ŞEHİT AZAM GÜDENDEDE,,37.879175,32.5163,,
1139a,ŞEHİT İBRAHİM MARAL,,37.8811917,32.519525,,
1139d,ŞEHİT İBRAHİM MARAL,,37.881075,32.5195,,
113a,FETHİYE,,37.8563083,32.4434417,,
113d,FETHİYE,,37.8563834,32.4434333,,
1140a,GÖREME,,37.882716,32.522073,,
1140d,GÖREME,,37.8826583,32.521875,,
1141a,BÜLBÜL,,37.8846417,32.5249,,
1141d,BÜLBÜL,,37.8845217,32.5249,,
1142a,GARİP NASRULLAH CAMİ,,37.8861417,32.527825,,
1142d,GARİP NASRULLAH CAMİ,,37.8859917,32.527875,,
1143a,HALİL ETEM,,37.887483,32.530855,,
1143d,HALİL ETEM,,37.88732,32.530925,,
1144a,HZ. YUSUF CAMİ,,37.888755,32.533757,,
1144d,HZ. YUSUF CAMİ,,37.888872,32.53358,,
1145a,GÖZTEPE CAMİ,,37.935204,32.436216,,
1145d,GÖZTEPE CAMİ,,37.935105,32.436264,,
1146a,ÇENGİLTİ ÇIKIŞI,,38.001051,32.772334,,
1146d,ÇENGİLTİ ÇIKIŞI,,38.000816,32.772442,,
1147a,ATARDAMAR,,37.890129,32.540522,,
1147d,ATARDAMAR,,37.890529,32.541102,,
1148a,HİLAL,,37.8865917,32.5423083,,
1148d,HİLAL,,37.88662,32.54265,,
1149a,YUNUS EMRE,,37.851955,32.53624,,
1149d,YUNUS EMRE,,37.851915,32.536316,,
114a,ÇAĞLAYAN,,37.854275,32.4393083,,
114d,ÇAĞLAYAN,,37.8543417,32.4392083,,
1150a,MÜZAKERE,,37.848372,32.533295,,
1150d,MÜZAKERE,,37.848314,32.533365,,
1151a,AKÇAKAYA,,37.846305,32.531321,,
1151d,AKÇAKAYA,,37.846273,32.531386,,
1152a,MANOLYA,,38.008438,32.487312,,
1152d,MANOLYA,,38.008519,32.487076,,
1153a,PALMİYE,,38.009796,32.490573,,
1153d,PALMİYE,,38.009888,32.490605,,
1154a,KIRLANGIÇ,,38.006783,32.492711,,
1154d,KIRLANGIÇ,,38.006672,32.492816,,
1155a,TOPKAYA,,37.873735,32.536628,,
1155d,TOPKAYA,,37.8736967,32.5364345,,
1156a,KARMA İLKOKULU,,37.877951,32.495488,,
1157a,CİZRELİ,,37.879227,32.504231,,
1157d,CİZRELİ,,37.879191,32.504285,,
1158a,LİLYUM,,38.006402,32.485802,,
1158d,LİLYUM,,38.006545,32.485558,,
1159a,KAMELYA,,38.006727,32.482773,,
1159d,KAMELYA,,38.006619,32.482789,,
115a,KEHRİBAR,,37.8534333,32.4377667,,
115d,KEHRİBAR,,37.8535334,32.4376666,,
1160a,FULYA,,38.009636,32.481497,,
1160d,FULYA,,38.009707,32.48119,,
1161a,AHMET ŞUAYİP,,37.772936,32.408412,,
1161d,AHMET ŞUAYİP,,37.77288,32.408519,,
1162a,ESTERGON,,37.775503,32.410729,,
1162d,ESTERGON,,37.775524,32.410579,,
1163a,MOTİF,,37.778605,32.411078,,
1163d,MOTİF,,37.778529,32.410928,,
1164a,MİMOZA,,38.006094,32.490283,,
1164d,MİMOZA,,38.005957,32.490439,,
1165a,MİHMAN,,37.862431,32.643885,,
1166a,KEMAH,,37.8912167,32.5251083,,
1166d,KEMAH,,37.891178,32.524921,,
1167a,HORASANLI İLKOKULU,,37.893142,32.526825,,
1167d,HORASANLI İLKOKULU,,37.893263,32.526681,,
1168a,TUĞRA,,37.984626,32.900764,,
1168d,TUĞRA,,37.984563,32.900683,,
1169a,HAKKANİYET,,37.8973583,32.5321166,,
1169d,HAKKANİYET,,37.897288,32.531896,,
116a,AVGIN,,37.8513,32.43475,,
116d,AVGIN,,37.8515417,32.4351083,,
1170a,KEÇECİLER SON DURAK CAMİ,,37.8989417,32.53515,,
1170d,KEÇECİLER SON DURAK CAMİ,,37.898896,32.535023,,
1171a,KISMET,,37.897725,32.5369083,,
1171d,KISMET,,37.89773,32.53728,,
1172a,ÇEVİK KUVVET,,37.894015,32.538591,,
1172d,ÇEVİK KUVVET,,37.894369,32.539154,,
1173a,BAŞAK,,37.890275,32.5337417,,
1173d,BAŞAK,,37.890325,32.5334583,,
1174a,AÇELYA,,37.974068,32.507852,,
1174d,AÇELYA,,37.974239,32.508035,,
1175a,ANEMON,,37.974685,32.503899,,
1175d,ANEMON,,37.974793,32.503931,,
1176a,FESLEGEN,,37.974864,32.496957,,
1176d,FESLEGEN,,37.975012,32.496925,,
1177a,TÜZEL,,37.8796584,32.537625,,
1177d,TÜZEL,,37.879475,32.5374917,,
1178a,DÖKÜM,,37.896391,32.528355,,
1178d,DÖKÜM,,37.896247,32.528601,,
1179a,ÇAKIRDOĞAN,,37.888625,32.5213333,,
1179d,ÇAKIRDOĞAN,,37.8884583,32.5212417,,
117a,ÇANDIR,,37.8499083,32.4309083,,
117d,ÇANDIR,,37.8499416,32.4308417,,
1180a,YEDİLER LALELİ CAMİ,,37.8874083,32.5195166,,
1180d,YEDİLER LALELİ CAMİ,,37.8871583,32.5191917,,
1181a,YEDİLER IŞIKLAR CAMİ,,37.885275,32.5156833,,
1181d,YEDİLER IŞIKLAR CAMİ,,37.8851417,32.5155667,,
1182a,SARIKIŞLA,,37.883647,32.512959,,
1182d,SARIKIŞLA,,37.883625,32.5131,,
1183a,BAĞÖNÜ,,37.881875,32.5098583,,
1183d,BAĞÖNÜ,,37.881725,32.50975,,
1184a,KEÇECİLER CAMİ,,37.8803584,32.506925,,
1184d,KEÇECİLER CAMİ,,37.8802083,32.5068083,,
1185a,SARIK,,37.885675,32.4999583,,
1185d,SARIK,,37.885675,32.4999983,,
1186a,FLORA,,37.948994,32.519724,,
1187a,KARACİHAN,,37.886933,32.504248,,
1187d,KARACİHAN,,37.88696,32.504145,,
1188a,ŞEHİT SADIK ORTAOKULU,,37.888846,32.506458,,
1188d,ŞEHİT SADIK ORTAOKULU,,37.888776,32.506522,,
1189a,ARAPLAR MEZARLIĞI,,37.890235,32.508957,,
1189d,ARAPLAR MEZARLIĞI,,37.890089,32.508963,,
118a,KARACİĞAN CAMİ,,37.859824,32.471251,,
118d,KARACİĞAN CAMİ,,37.859872,32.471074,,
1190a,SUYOLU,,37.891778,32.511114,,
1190d,SUYOLU,,37.891844,32.511023,,
1191a,BURHANİYE,,37.893416,32.513533,,
1191d,BURHANİYE,,37.893482,32.513453,,
1192a,SELİMİYE,,37.894956,32.515293,,
1192d,SELİMİYE,,37.895102,32.515132,,
1193a,MEFTUNLU,,37.897496,32.517375,,
1193d,MEFTUNLU,,37.897625,32.517255,,
1194a,CEVHER DUDAYEV,,37.899957,32.51908,,
1194d,CEVHER DUDAYEV,,37.899977,32.518774,,
1195a,HASŞEHİR,,37.9021583,32.5206833,,
1195d,HASŞEHİR,,37.902575,32.5208083,,
1196a,10424. SK,,37.9045417,32.5227083,,
1196d,10424. SK,,37.904725,32.5226583,,
1197a,MUHABİR,,37.903625,32.524625,,
1197d,MUHABİR,,37.9036166,32.52485,,
1198a,MESNEVİ,,37.9007583,32.5260417,,
1198d,MESNEVİ,,37.9007417,32.5263084,,
1199a,AŞKAR HÖYÜĞÜ PARKI,,37.8983667,32.5269916,,
1199d,AŞKAR HÖYÜĞÜ PARKI,,37.89835,32.5272333,,
11a,MİLLET BAHÇESİ,,37.867033,32.4827,,
11d,MİLLET BAHÇESİ,,37.867175,32.48251,,
1200a,KARKENT BAFRA,,37.897075,32.52625,,
1201a,ÜÇDERE,,37.895305,32.5235,,
1201d,ÜÇDERE,,37.89537,32.523409,,
1202a,KAZDAĞI,,37.893645,32.521258,,
1202d,KAZDAĞI,,37.893741,32.521178,,
1203a,İSMAİL HAKKI,,37.891003,32.517278,,
1203d,İSMAİL HAKKI,,37.890912,32.517342,,
1204a,AYDINLAR,,37.88475196,32.50808667,,
1205a,AKÇİL,,37.888717,32.514032,,
1205d,AKÇİL,,37.888639,32.514118,,
1206a,KAVAKALTI CAMİ,,37.886522,32.511076,,
1207a,BAHTIGÜZEL,,37.88178759602254,32.503700349479914,,
1207d,BAHTIGÜZEL,,37.881734685432,32.50357696786523,,
1208a,VAHDET,,37.88366208350107,32.50299761071801,,
1208d,VAHDET,,37.88362745499796,32.502917647361755,,
1209d,EREĞLİ YOLU,,37.837948,32.783907,,
120a,ERMİŞLİ,,37.859488,32.466478,,
120d,ERMİŞLİ,,37.859365,32.46628,,
1210a,HACI HASANBAŞI 2,,37.8800814999589,32.50336239114404,,
1210d,HACI HASANBAŞI 2,,37.88011349091098,32.50328192487359,,
1211a,ARAPLAR CAMİ,,37.8836667,32.5056917,,
1211d,ARAPLAR CAMİ,,37.8837417,32.505675,,
1212a,KÜRDEN,,37.8860834,32.5072,,
1213a,ARAPLAR AK CAMİ,,37.8897917,32.5073083,,
1214a,HACIBACAK CAMİ,,37.8913584,32.5073167,,
1215a,CENGİZ TOPEL İLKOKULU,,37.8936167,32.50745,,
1216a,SEYİT KUTUP,,37.9080416,32.526025,,
1216d,SEYİT KUTUP,,37.9081416,32.526025,,
1217a,BABI ALİ,,37.906375,32.5293083,,
1217d,BABI ALİ,,37.9066,32.52964,,
1218a,MEVLANA PTT,,37.903675,32.5324417,,
1218d,MEVLANA PTT,,37.90379,32.53273,,
1219a,BESTAMİ,,37.902375,32.5362583,,
1220a,RAGIP,,37.90465,32.5385833,,
1221a,RAVZA,,37.906679,32.539523,,
1222a,EHLİBEYT,,37.90745,32.5345333,,
1225a,HURDACILAR SANAYİ,,37.9129417,32.532775,,
1225d,HURDACILAR SANAYİ,,37.9130917,32.5326584,,
1226d,İKBAL CAMİ,,37.9109083,32.5301417,,
1227a,10579. SK,,37.9162434,32.535675,,
1227d,10579. SK,,37.9162634,32.535575,,
1228a,BÜSAN GİRİŞİ,,37.9170917,32.5373417,,
1229a,10643. SK,,37.915034,32.541228,,
122a,DEĞİRMENLİ,,37.85485,32.45075,,
122d,DEĞİRMENLİ,,37.855,32.4506667,,
1230a,10647. SK,,37.9124917,32.5457583,,
1231a,10652. SK,,37.911425,32.5502083,,
1231d,10652. SK,,37.911425,32.5498083,,
1232a,10648. SK,,37.9136834,32.547925,,
1232d,10648. SK,,37.9136834,32.547725,,
1233a,BÜSAN CAMİ,,37.915375,32.5447833,,
1234a,KOSGEB,,37.917075,32.5417333,,
1235a,10642. SK,,37.919075,32.5380417,,
1236a,MEDCEZİR,,37.921275,32.533975,,
1237a,ŞATIR YOLU 1,,37.79395,32.7746416,,
1238a,YAZICIOĞLU,,37.8761083,32.531675,,
1238d,YAZICIOĞLU,,37.8762583,32.5316457,,
1239d,VUSLAT,,37.92745,32.5326833,,
123a,ZÜMRÜT CAMİ,,37.8519917,32.448075,,
123d,ZÜMRÜT CAMİ,,37.852075,32.4481083,,
1240d,10683. SK,,37.9266333,32.5339,,
1241d,10687. SK,,37.9275166,32.5345917,,
1242a,KIŞLAÖNÜ 1,,37.868033,32.513501,,
1242d,KIŞLAÖNÜ 1,,37.868086,32.513297,,
1244a,DİKİLİTAŞ,,37.95484,32.47237,,
1244d,DİKİLİTAŞ,,37.95459,32.47237,,
1245a,BAYKARA,,37.95285,32.4745,,
1245d,BAYKARA,,37.95265,32.4747167,,
1246a,KARATAY HÜKÜMET KONAĞI,,37.863891,32.543327,,
1246d,KARATAY HÜKÜMET KONAĞI,,37.863834,32.543129,,
1247a,TATKÖY BARAJ AYRIMI,,37.937523,32.396734,,
1247d,TATKÖY BARAJ AYRIMI,,37.937589,32.396755,,
1248a,MEDİCANA HASTANESİ,,37.8935083,32.49809,,
1249d,ZENCİRLİ 3,,38.00377,32.835478,,
124a,YEŞİLDAL,,37.848214,32.446109,,
124d,YEŞİLDAL,,37.848231,32.446021,,
1250d,ZENCİRLİ 5,,38.008335,32.834667,,
1251a,IRMAK KENARI,,37.886502,32.513521,,
1252a,3. SK,,37.96408,32.61929,,
1253a,EVRENKÖY 2,,37.96733,32.61393,,
1253d,EVRENKÖY 2,,37.967302,32.613812,,
1254a,ARIKAN,,37.849659,32.51017,,
1254d,ARIKAN,,37.849775,32.50991,,
1255a,BOZTEPE,,37.851625,32.51281,,
1255d,BOZTEPE,,37.8516084,32.51242,,
1256a,MAHİLER,,37.8543583,32.51673,,
1256d,MAHİLER,,37.854425,32.51638,,
1257a,DEMİRCAN,,37.8565417,32.52026,,
1257d,DEMİRCAN,,37.8566083,32.51986,,
1258a,ASMALI KONAK,,37.859503,32.523978,,
1258d,ASMALI KONAK,,37.859649,32.523586,,
1259a,KURUDERE,,37.864555,32.524883,,
1259d,KURUDERE,,37.864602,32.525195,,
125a,GÜRNİHAL,,37.8456917,32.4443917,,
1261a,ASTAR,,37.86843975028669,32.52534627914429,,
1261d,ASTAR,,37.86853079824533,32.525158524513245,,
1262a,AZİMET,,37.87175,32.52741,,
1262d,AZİMET,,37.871925,32.52716,,
1263a,KARFET FETİH CAMİ,,37.8764,32.5277,,
1263d,KARFET FETİH CAMİ,,37.8763,32.5274,,
1264a,KARATAY KENT,,37.8814666,32.52743,,
1264d,KARATAY KENT,,37.8814,32.52708,,
1265a,FINDIK,,37.8839833,32.5273,,
1265d,FINDIK,,37.8838917,32.52694,,
1266a,ŞALVARCI,,37.8877583,32.52397,,
